TLD	Cluster	Domain Count
.tk	7	3158181
.ga	7	1950194
.ml	9	1682226
.cf	7	1667317
.gq	9	1534950
.work	9	597322
.icu	9	539214
.gdn	8	354361
.men	9	338756
.win	9	314803
.stream	8	275279
.bid	8	228408
.review	9	208278
.trade	9	161101
.host	7	155228
.cloud	9	154666
.date	8	133268
.dev	7	121098
.download	8	100084
.party	7	96533
.ink	7	86701
.science	7	83805
.racing	7	71005
.business	9	59614
.accountant	9	57219
.faith	7	55141
.xn--3ds443g	8	36883
.xn--6qq986b3xl	7	29169
.cricket	7	22460
.gallery	9	8903
.in.net	7	7696